Iteration,Objective,Score,MinOut,MaxOut,stdDevMinOutPos,stdDevMinOutNeg,StdDevMaxOutPos,StdDevMaxOutNeg,HyperplanePercentage
62,1.97595e+06,0,-0.424415,-nan,0.00131883,0.00128793,-nan,-nan,2.01823e-15
63,1.96501e+06,0,-0.428947,-nan,0.00130308,0.00127229,-nan,-nan,2.02937e-15
64,1.9542e+06,0,-0.433425,-nan,0.00128774,0.00125664,-nan,-nan,2.04049e-15
65,1.94353e+06,0,-0.437849,-nan,0.00127236,0.00124137,-nan,-nan,2.0516e-15
66,1.93298e+06,0,-0.44222,-nan,0.00125716,0.00122629,-nan,-nan,2.0627e-15
67,1.92256e+06,0,-0.44654,-nan,0.00124214,0.00121139,-nan,-nan,2.07378e-15
68,1.91226e+06,0,-0.450808,-nan,0.00122731,0.00119667,-nan,-nan,2.08485e-15
69,1.90208e+06,0,-0.455025,-nan,0.00121285,0.00118192,-nan,-nan,2.09591e-15
70,1.89203e+06,0,-0.459191,-nan,0.00119837,0.00116755,-nan,-nan,2.10694e-15
71,1.88209e+06,0,-0.463308,-nan,0.00118425,0.00115316,-nan,-nan,2.11796e-15
72,1.87227e+06,0,-0.467376,-nan,0.00117011,0.00113913,-nan,-nan,2.12897e-15
73,1.86258e+06,0,-0.471395,-nan,0.00115614,0.00112527,-nan,-nan,2.13995e-15
74,1.85299e+06,0,-0.475367,-nan,0.00114233,0.00111158,-nan,-nan,2.15091e-15
75,1.84352e+06,0,-0.479291,-nan,0.00112868,0.00109804,-nan,-nan,2.16186e-15
76,1.83417e+06,0,-0.483168,-nan,0.0011152,0.00108467,-nan,-nan,2.17278e-15
77,1.82492e+06,0,-0.486999,-nan,0.00110207,0.00107128,-nan,-nan,2.18368e-15
78,1.81579e+06,0,-0.490784,-nan,0.00108909,0.00105806,-nan,-nan,2.19456e-15
79,1.80676e+06,0,-0.494524,-nan,0.00107608,0.00104516,-nan,-nan,2.20542e-15
80,1.79784e+06,0,-0.49822,-nan,0.00106323,0.00103242,-nan,-nan,2.21625e-15
81,1.78903e+06,0,-0.501871,-nan,0.00105053,0.00101983,-nan,-nan,2.22706e-15
82,1.78033e+06,0,-0.505479,-nan,0.00103799,0.0010074,-nan,-nan,2.23785e-15
83,1.77172e+06,0,-0.509044,-nan,0.00102559,0.000995107,-nan,-nan,2.2486e-15
84,1.76322e+06,0,-0.512566,-nan,0.00101351,0.000982801,-nan,-nan,2.25934e-15
